,text,category,polarity
2201,"They brought glasses and the bottle, and just left the bottle at our table.",service,negative
4788,The restaraurant is very small so reservations are a must.,anecdotes,neutral
1364,"No refills on fountain drinks, though.",food,negative
4101,Avoid at all costs.,anecdotes,negative
2039,Stuffing yourself with Japanese food is a rare thing.,food,neutral
2015,"Meanwhile, the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil, gratis.",food,positive
3160,"Then, get ripped on free box wine.",food,positive
2601,"Overall the restaurant is more expensive than our other sushi favorites, but everything was delicious.",food,positive
4574,The wine and cheese plate are plentiful and can't wait to try the fondue or table grilling.,food,positive
4711,for my birthday and we had an excellent time.,miscellaneous,positive
1573,This is the first time Citysearch did't call it right.,miscellaneous,neutral
324,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",ambience,positive
2717,Our first time in New York and we had to try a New York Bagel.,anecdotes,neutral
22,The pizza is the best if you like thin crusted pizza.,food,positive
4127,None of that yucky whipped stuff.,food,positive
1882,The drinks are always welll made and wine selection is fairly priced.,price,positive
1712,I hate this.,anecdotes,negative
1779,The corned beef was tender and melted in my mouth.,food,positive
2438,I have taken practically every guest that has come to visit me in NY and hooked a few New Yorkers onto Peep as well.,miscellaneous,positive
4355,"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",service,positive
748,I've lived in NY for 5 years and this place has it all.,miscellaneous,positive
1555,"While the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck.",price,positive
3175,Give it a try and enjoy.,anecdotes,positive
1784,We weren't even at our table for more than an hour total.,miscellaneous,neutral
239,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,food,positive
340,"Have recommended the place to friends, always gets good response.",miscellaneous,positive
829,"Emilio, the owner, is often sitting in the front table greeting guests as they come and go.",service,positive
4532,"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",ambience,positive
3187,"Going to Ballato's is like coming home and eating in my own kitchen, an absolute delight!",miscellaneous,positive
1534,Definitely Highly NOT recommended.,anecdotes,negative
3697,We actually left hungry and went across the street to Wo Hop at 15 Mott street for some good chinese food.,food,positive
3588,But $1 for each small piece???,price,negative
4155,"Staffs are not that friendly, but the taste covers all.",food,positive
836,"A cheap eat for NYC, but not for dosa.",price,conflict
4016,THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,ambience,positive
2233,This food is asian-air fusion.,food,neutral
3590,"Our son loves pizza and we have a certified Neapolitan pizzaria in our home city (Seattle), we liked this nearly as much - and the differences were more about personal preference than any reflection on either restaurant.",miscellaneous,positive
500,I felt as though I were eating in Paris.,ambience,positive
3629,I just do not understand what the fuss is all about.,miscellaneous,negative
3275,"Again, if you are in this neighborhood - by all means, come here.",anecdotes,positive
1242,I love the fact that the pizza tastes so good and is so cheap.,price,positive
3822,"Been there, done that, and New York, it's not that big a deal.",miscellaneous,neutral
3916,"I wouldn't mind going back some time, but not before trying others nearby.",anecdotes,conflict
4201,I would go back.,miscellaneous,positive
4250,Everything that happened was not even up to mediocre.,miscellaneous,negative
3553,Go for it!,anecdotes,positive
605,This is an amazing place to try some roti rolls.,food,positive
2240,i'm surprised about some of the bad reviews posted here - i've been to tamarind about 5 or 6 times and always come away extremely satisfied and looking forward to returning.,anecdotes,positive
4154,Of course the reason its so packed is because the food is so delicious!,food,positive
3135,"The place wasn't too hard to find, but it was kind of packed, as soon as my boyfriend and I got our food, the line reached the door.",anecdotes,neutral
1295,"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.",service,negative
3651,"You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.",food,positive
2802,"The blond wood decor is very soothing, the premium sake is excellent and the service is great.",service,positive
3374,"Very neighborhoody, very quick and sufficient.",ambience,positive
212,This restaurant used to be pretty decent.,miscellaneous,negative
3317,A word to the wise - the Hoboken health inspector clued me to his findings that this is THE cleanest restaurant in town.,anecdotes,positive
1817,"Try ordering from the regular menu, then you would not regret!",food,positive
3867,"If you are looking for a good quality, cheap eats - this is the place.",food,positive
4027,"We all had the tasting menu and unlike some of the other reviews, I felt there was more than enough food.",food,positive
2647,"Last memorial day, I tried to make reservations but was told they were closed that weekend (interesting, but...).",service,negative
2295,"Spice is sleek, modern and cool with a menu that will not hurt your wallet.",price,positive
4596,The food was great and the service was even better.,service,positive
3341,My boyfriend and I were in NY for a few days and Pastis was a place that came recommended.,miscellaneous,neutral
1258,"After all that, they complained to me about the small tip.",service,negative
4319,I have been to Casimir over 5 times and I have always had a great time there.,miscellaneous,positive
1180,They also do a great job for restaurant week.,anecdotes,positive
302,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",service,negative
4587,"The food came out wrong, the waiter was no where to be found and the wine showed up at the end of the meal.",service,negative
1739,So my husband made up an excuse so we can leave.,anecdotes,negative
75,I have been to Roth's twice and both times were very disappointing.,miscellaneous,negative
4439,Although we were looking for regular lettuce and some walnuts the salads we got were great.,food,positive
3247,I thought I had died and gone to heaven.,miscellaneous,positive
799,"my personal favorite is an everything bagel with lox spread, but all the bagles are unbeliavably good.",food,positive
3797,I'm saving up for my next visit.,anecdotes,positive
1490,"The crust is thin, the ingredients are fresh and the staff is friendly.",service,positive
1726,"While there are plenty of places to go for a good corned beef sandwich, Katz's has a charm about it.",food,positive
2355,"Both are delicious, the cooks are friendly and are willing to take a moment and speak to you and shake your hand.",service,positive
1028,This is my favorite Italian restaurant in all of New York City.,miscellaneous,positive
4058,I came here for my friend's birthday and keep coming back ever since.,miscellaneous,positive
1615,Beef noodle soup is good as well.,food,positive
4446,"both are very reasonably priced (around $8 for dinner and $5 for lunch), and are delicious and filling.",food,positive
1899,"The entree was bland and small, dessert was not inspired.",food,negative
162,They are often crowded on the weekends but they are efficient and accurate with their service.,service,positive
52,Faan's got a great concept but a little rough on the delivery.,anecdotes,positive
2741,"However, I think this place is a good hang out spot.",ambience,positive
3086,"Again, the waitress was awesome.",service,positive
3808,Yeah Shanghai is also great but not quite as good -- they use the same amount of salt but without sweetness to balance out.,food,neutral
2817,For dinner I had the chicken tikka-masala and some garlic naan.,food,neutral
2023,"BUt their best dish is thh Thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here.",price,positive
2773,I consider the best Grand Sichuan restaurant in NYC.,miscellaneous,positive
4216,And the food was fantastic.,food,positive
4603,"Consequently, their burgers fell apart in their hands and made such a mess that they did'nt feel like finishing them.",miscellaneous,negative
1320,Tends to turn people away.,miscellaneous,negative
3728,The owners and employees are friendly and their pizza is fantastic.,service,positive
4048,We arrived on time for our reservation and seated promptly.The,anecdotes,neutral
2852,Warning: You may find it difficult to dine at other Japanese restaurants after a visit to Mizu!,anecdotes,positive
1168,There are other people waiting!,service,neutral
4290,"The staff makes you feel at home, the food is great and the atmosphere is WONDERFUL!",service,positive
4748,"A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.",service,negative
2259,She gets 10 for her excellent service and advice.,service,positive
94,I highly recommend the Sophia pizza.,anecdotes,positive
2485,"My friends and I experienced amazing cheese and a delicious, new summer menu at Artisanal last night.",miscellaneous,positive
2842,I will be returning.,miscellaneous,positive
3474,"The mussaman curry that I ordered was as thin as water and aside from the poorly fried tofu that I ordered in it, they graciously provided me with ONE piece of poorly cooked potato.",food,negative
4009,"This is, by far, my favorite restaurant in NYC and I only wish it were more affordable so I could go more often!",price,negative
2168,"It's a place for people who pay a lot for mediocre food, noise and a chance to be with their fellow bridge and tunnel folks.",ambience,negative
1564,"Each bite of food at Kai was indeed delicious, fresh, and elegant.",food,positive
2380,We had a most unpleasant experience at this restaurant.,anecdotes,negative
774,Highly recommend this as great value for excellent sushi and service.,food,positive
3132,"The Halibut was too salty, dessert was so so (don't waste any of your calories) and service was poor.",service,negative
4348,THe perfect spot.,miscellaneous,positive
3512,"But, hey, there is anything better with a decent vegetarian selection in Astoria.",miscellaneous,neutral
3938,Decor leaves something to be desired.,ambience,negative
3998,"Take a good sense of humor,an American express card with no limit, walk out with a lollipop,gift bag in hand and enough marketing materials for alain to to take the show on the road",price,negative
3872,A friend from Seattle and I went on a Thursday night around 8:30.,anecdotes,neutral
1594,"But people from Sichuan will die for it)  - Chongqing Hot Pot, chongqing was the biggest city of Sichuan, now became an independent province.",anecdotes,positive
2557,"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.",ambience,positive
24,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,miscellaneous,positive
2361,"The staff was accomodating, the food was absolutely delicious and the place is lovely.",service,positive
4502,"The drinks are a saving grace, but service staff, please, get over yourselves.",service,negative
876,My friends and I have been going here regularly for two years.,anecdotes,neutral
3095,"The food was just OK, I would never go back.",anecdotes,negative
4766,There was a small group of us looking somewhere to eat kinda late on a weeknight and we ended up at Pastis.,anecdotes,neutral
575,One of the more authentic Shanghainese restaurants in the US definitely the best in Manhattan Chinatown.,miscellaneous,positive
1084,"We've only eaten in the restaurant once, but we have ordered many times for dinner.",miscellaneous,neutral
5,Where Gabriela personaly greets you and recommends you what to eat.,service,positive
2650,"at night, but it's hard to hear your own conversation with everyone else competing for that same luxury - the music playing in the background is also voluminous.",ambience,negative
3751,Fast service.,service,positive
4091,You guys are awesome!,miscellaneous,positive
2726,"Everytime my husband and I go there, we are never disappointed.",miscellaneous,positive
481,"The service, wine selection, ambiance are all outstanding and deserve recognition.",food,positive
519,Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.,food,positive
3455,The service was excellent and the food was delicious.,food,positive
940,"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",anecdotes,negative
333,"I am completely hooked on this place, it is ridiculous.",miscellaneous,positive
3097,Zero ambiance to boot.,ambience,negative
4108,The garlic mashed potatoes are hands down the best in the city!,food,positive
4271,The dim sum here is only so-so.,food,neutral
4357,The service was excellent and the food was delicious.,food,positive
3344,The food there is so good that even to order out the wait is incredible.,food,positive
873,I'm going back.,anecdotes,positive
1074,I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,ambience,negative
220,I was there on sat.,miscellaneous,neutral
1294,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",food,positive
2730,I've read some of the previews reviews - people are either not New Yorkers or have more appreciation for ambience then food.,anecdotes,neutral
3506,The food was exceptional.,food,positive
1155,"if this happens, just ask for real naan.",anecdotes,neutral
1211,"If you are the type of person who likes being scared and entertained, this is a great place to go and eat.",anecdotes,positive
543,"Based on the reviews for dinner, this is a place I would reconsider revisiting for that, but definitely not for Dim Sum again.",food,conflict
632,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",anecdotes,negative
2664,Cheese plate is a varied delight and great bargain at $10.,price,positive
3423,"As a retired hipster, I can say with some degree of certainty that for the last year Lucky Strike has been the best laid-back late night in the city.",miscellaneous,positive
797,"This is some really good, inexpensive sushi.",food,positive
2223,We've been to Grocery three times and not once has an item on the menu disappointed.,food,positive
4429,The service is good and the resturant is clean.,ambience,positive
2460,When we were finally seated our waitress came by twice-1 for our order and 2-for our check.,service,negative
4306,Go there to relax and feel like your somewhere else.,anecdotes,positive
1686,And evaluated on those terms Pastis is simply wonderful.,miscellaneous,positive
792,We go on Mondays for the prix fixe and our experience with the food has been comparable to Blue Ribbon.,food,neutral
700,You could get a much better dining experience for the same amount of money in a lot of other French Bistros.,anecdotes,negative
4549,"The food arrived 20 minutes after I called, cold and soggy.",service,negative
2358,My friend ordered some of their special sushi rolls which had excellent presentation and tasted great!,food,positive
1879,I was very disappointed with this restaurant.,anecdotes,negative
780,"This is my fourth try over a two year period, and I'm done.",miscellaneous,negative
2172,"After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like.",service,negative
2454,"Great service, great food.",food,positive
2629,I've been eating at Taj Mahal for over twenty years and have found them to be the most excellent of the Indian eateries on this block of Indian restaurants.,miscellaneous,positive
3032,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,anecdotes,neutral
1635,"As much as I like the food there, I can't bring myself to go back.",food,positive
2013,"Over price, and small portions .",food,negative
188,Our server checked on us maybe twice during the entire meal.,service,negative
3443,They were very abrupt with me when I called and actually claimed the food was late because they were out of rice.,service,negative
2580,"If celebrities make you sweat, then your in for a ride, but if your like most around these parts then you'll just yawn and wonder whats with all the hype.",anecdotes,conflict
4144,"Unlike other places in NYC where the sandwiches you want only come as a triple-decker, here you can get what you want in a reasonably-sized portion (and price).",food,conflict
465,"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",anecdotes,negative
1107,The food looked very appetizing and delicious since it came on a variety of fancy plates.,food,positive
2334,The food was delicious and the waiter was incredibly helpful and attentive (considering we were the only ones there for the first hour).,service,positive
2660,Recommended.,anecdotes,positive
4132,I would not recommend this place to anyone.,miscellaneous,negative
901,While I'm not sure that this happens all the time-this is the kind of treatment that buys repeat business!,service,positive
3805,Amma is nothing special.,miscellaneous,negative
2961,"Service is great, takeout is good too.",service,positive
1547,I have never before eaten 40 pieces of relatively good nigiri.,miscellaneous,neutral
3703,The catch is that you are charged extra for ANYTHING that you leave on your plate so don't be a greedy pig!,miscellaneous,negative
4594,No you're going to go back because the food was good.,food,positive
3438,"Unless you are eating in the Pizzeria side of this place, and are not in a rush, this place is a bad idea.",anecdotes,negative
2585,I love it.,miscellaneous,positive
3469,"This is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!",anecdotes,positive
2622,"Try everything for that matter, it is all good.",food,positive
448,They didn't give us the dinner special until we asked for it.,service,negative
2344,The place was real empty but that was because this was the first Sunday they ever opened.,ambience,conflict
3367,They are FAST.,service,positive
3271,"I don't get it, what's so special about Prune ?",anecdotes,negative
705,Good food.,food,positive
4496,"The food is definitely good, but I left a bit disappointed.",anecdotes,conflict
629,"Oh right, I should probably say something nice.",anecdotes,neutral
1121,Go inside and you won't want to leave.,anecdotes,positive
2286,I was pleasantly suprised.,anecdotes,positive
4643,"Judging from previous posts this used to be a good place, but not any longer.",anecdotes,conflict
4575,Bleecker St Pizza is the best!,anecdotes,positive
3484,Once they ran out of Gnochi and made it for me from scratch!,anecdotes,positive
1127,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",food,positive
2029,"Great for groups, great for a date, great for early brunch or a nightcap.",ambience,positive
1208,I had to share my table with a loud group of kids and the service was rude an unattentive.,ambience,negative
4425,They're terrific!!,miscellaneous,positive
2952,We had a good time.,anecdotes,positive
2832,I've been here twice now.,miscellaneous,neutral
4713,Deliveries often take up to an hour and the prices are higher than most other pizzerias in the area.,price,negative
3990,"Try the Pad Thai, it's fabulous and their prices are so cheap!",price,positive
3779,My sister says it reminds her of a restaurant run by high-school students who don't know what they are doing.,miscellaneous,negative
755,"Not a large place, but it's cute and cozy.",ambience,conflict
1793,"Very romantic fires - I've literally spent hours at Lanterna, drinking wine from their extensive wine and enjoying the ambience.",food,positive
420,Planet Thai is great!,anecdotes,positive
4547,"Complimentary stuff kept coming, and when the waiter saw me opening a gift, I received my dessert on a plate that had Happy Birthday written on it, with a candlevery nice touch, and attentive staff.",service,positive
35,IT IS DEFINITELY SPECIAL AND AFFORDABLE.,price,positive
1441,We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,service,negative
999,I have been coming to this neighborhood spot for years.,miscellaneous,neutral
1493,Also a little more expensive than your average bagel place.,price,negative
789,After passing by this restaurant for sometime I finally decided to go in and have dinner.,miscellaneous,neutral
2551,Go only if you are already in the neighborhood and don't want to bother going farther for a better place.,anecdotes,negative
3388,Stay away from the latter since you won't go for seconds (hint hint).,food,negative
3152,"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",food,positive
990,I am bringing my whole family back next time.,miscellaneous,positive
4599,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,ambience,conflict
2820,"Like others have said, don't expect the restaurant to make a nite out romantic for you and yes, a busy restaurant may require you to wait.",service,negative
2891,"Ok, for all of us growing up in the Village of NYC, we have spoiled by a plethora of restaurants, most of which stay open very late.",miscellaneous,neutral
3926,Simple comfort food and what hot and lage portions.,food,positive
4699,This is a true gem of the village.,miscellaneous,positive
2026,But the thai is definitely not great -- bland and indistinguished.,food,negative
3068,"It is terrific, as is the value.",price,positive
2480,"I was in love with Pongsri on 48th, but compared to Suan it is slow in service and overpriced.",miscellaneous,positive
4477,Another plus is most of the entrees are approx.,miscellaneous,positive
609,Authentic bistro!,anecdotes,positive
58,"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,positive
642,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,service,negative
4236,"If it isn't for the food (A+++), it must be the service or the ambience.",food,positive
528,Always busy but fast moving.,ambience,conflict
493,"The food was pretty good, but a little flavorless and the portions very small, including dessert.",food,conflict
3166,"If you don't mind pre-sliced low quality fish, unfriendly staff and a sushi chef that looks like he is miserable then this is your place.",service,negative
4752,I have lived in NY for many years and have dined at many restaraunts.,miscellaneous,neutral
1874,What's the difference between the two?,miscellaneous,neutral
4598,"While this can hardly be called a restaurant, it is possibly the best deal in Manhatten: $4 for a plate heaped with rice and 2-3 entrees.",price,positive
2222,We will come back!!!,miscellaneous,positive
3180,"those rolls were big, but not good and sashimi wasn't fresh.",food,negative
1831,"I didn't complain, I liked the atmosphere so much.",ambience,positive
