,text,term,start,end,polarity
235,"The food, drinks and service are clearly among the best in the city.",service,21,28,positive
1895,"Service was decent, but not as smooth as I would expect from a place with these prices and reputation.",Service,0,7,conflict
1943,"In terms of the food itself -- nothing special, we limited ourselves to several appetizers.",appetizers,80,90,neutral
1848,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",rock shrimp tempura,47,66,positive
3053,"They are still living in the dark ages and do not have an answering machine, so if you want to make a reservation you are limited.",reservation,102,113,negative
2618,"Overall, the ingredients and technique are there and I am encouraged enough to return at lunch or dinner to see whether the boldness of the flavour palette improves.",ingredients,13,24,positive
3686,"From the appetizers we ate, the dim sum and other variety of foods, it was impossible to criticize the food.",food,103,107,positive
3679,"We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi.",edamames,40,48,neutral
2501,"The eggplant parmesan is also great, and my friend who grew up in Manhattan claims that no one serves a better baked ziti with meatsauce.",serves,95,101,positive
46,Two words: Free wine.,wine,16,20,positive
2463,I've overheard comments from him to his employees that should not have been delivered in the dining area and I've been sitting there while he lectured another customer.,dining area,93,104,neutral
1750,And I say snacking because it really is not set up to be a proper dinner.,dinner,66,72,negative
1127,"First the wrong bread came out with the appetizer, then when i tried to order a second glass of wine for my main course...",main course,108,119,neutral
3041,"The food is spectacular, from the appitizers to the main course, and then of course the desserts, (WOW) you'll need no more.",desserts,88,96,positive
81,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",environment,67,78,positive
3334,"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",service,75,82,positive
596,Mizu is home to creative and unique rolls not to found anywhere else.,rolls,36,41,positive
3109,The sauce is delicious and the crust is perfect.,sauce,4,9,positive
2645,They offer the same menu but have creative drinks that are loaded with alcohol and cheeky names -- but they do cost you.,menu,20,24,neutral
2901,"We a menu that rearely changes,e xcept for one or two specials, the quality and care they put in thier food in evident.",care,80,84,positive
1741,Once for dinner and once for brunch.,dinner,9,15,neutral
49,"The quantity is also very good, you will come out satisfied.",quantity,4,12,positive
1033,The dim sum servings here are a bit larger than I'm used to.,dim sum servings,4,20,neutral
1490,"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers.",bhelpuri,63,71,positive
2468,Just bring someone who speaks Cantonese because waiter may not understand you.,waiter,48,54,negative
2771,"Our son loves pizza and we have a certified Neapolitan pizzaria in our home city (Seattle), we liked this nearly as much - and the differences were more about personal preference than any reflection on either restaurant.",pizza,14,19,positive
1342,"If you live in new york city, you'll find better food at small restaurants outside of time square and spend half the amount.",food,49,53,negative
1618,"I LOVE their spicy scallop roll, and my boyfriend consistently gets the sesame chicken.",scallop roll,19,31,positive
2633,"Besides, when you have bad service, that's less money you have to tip.",service,27,34,negative
1850,The staff was knowledgeable and full of personality.,staff,4,9,positive
3393,"The cafe itself was really nice with comfortable outdoor chairs and tables, but the service could have been better.",outdoor chairs,49,63,positive
3221,"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.",Boton Shrimp,99,111,neutral
2547,"Food is average, and I would say even the chain restaurant Baluchi's tastes better.",Food,0,4,neutral
1187,"While they keep the capex to a minimum, they do put some cash into the bagels, because they among the best in the city.",bagels,71,77,neutral
140,I also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge),63,85,positive
2696,Had a late night dinner on a Saturday night.,dinner,17,23,neutral
3271,"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent.",blue cheese,172,183,positive
2490,"It cannot be the ambience, because the place is very cramped and some guests have to sit in an aisle.",ambience,17,25,negative
1096,But the main hit was the whole grilled fish.,whole grilled fish,25,43,positive
2419,The aesthetics of this place are like an airport lounge.,place,23,28,negative
1694,Dahkin also offers prix fixe lunch and buffet.,prix fixe lunch,19,34,positive
574,For the next hour and a half we stood in the crowded lobby area of this touristy restaurant listening to all types of explanations of why we were not being seated.,lobby area,53,63,negative
1183,No free drink.,drink,8,13,neutral
1621,I noted it was crossed off on the bill.,bill,34,38,neutral
1854,"Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!",seat,115,119,negative
3576,All in all the food was above average and I would return to see how they operate with four or less dinners.,food,15,19,positive
207,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",Service,0,7,negative
3558,"they did give a 15% discount at the end, wasn't enough, as they knew the service was horrible.",discount,20,28,negative
3556,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,service,92,99,positive
243,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",captain,163,170,positive
2100,I REALLY ENJOYED THE SHOWS PUT ON BY THE ACTORS.,SHOWS,21,26,positive
2055,"Last memorial day, I tried to make reservations but was told they were closed that weekend (interesting, but...).",reservations,35,47,negative
1996,We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.,noodle soup dishes,25,43,negative
1659,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,rice,78,82,neutral
3419,"great eats, good times.",eats,6,10,positive
906,"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",staff,32,37,positive
2253,"The kitchen however, is almost always slow.",kitchen,4,11,negative
71,This is a consistently great place to dine for lunch or dinner.,dine,38,42,positive
1942,"In terms of the food itself -- nothing special, we limited ourselves to several appetizers.",food,16,20,neutral
818,"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.",pre-theater menu,39,55,positive
608,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,waiters,32,39,conflict
1151,"the food was undercooked-the sauce watery, and the vegetables raw.",sauce,29,34,negative
2238,"the real kicker of the menu, however, is the beef cubes or the chicken with chili and lemon grass.",beef cubes,45,55,positive
1782,"My co-workers had to wait almost an hour for delivery, only to discover that what they got was not what they ordered.",delivery,45,53,negative
1828,"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy.",Scallion Pancake,17,33,positive
359,"It's really also the service, is good and the waiters are friendly.",service,21,28,positive
1965,We were fast to order the appetizer platter since we were very hungry.,appetizer platter,26,43,neutral
1268,We were very surprised by how good the food was on our first visit here on a Sunday night.,food,39,43,positive
115,"The atmosphere is unheralded, the service impecible, and the food magnificant.",service,34,41,positive
1242,"The food's dazzling flavors overwhelm the palate, truly embracing the beauty of authentic Thai cuisine.",flavors,20,27,positive
2617,This is one of the best comfort food places in the city.,comfort food,24,36,positive
2548,The place is small and cramped but the food is fantastic.,place,4,9,negative
1482,"my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source (special menu).",Guizhou chicken,10,25,positive
1504,"Decent Thai food in cute - though a bit dank - little Nolita hangout, BUT service terrible.",Thai food,7,16,positive
172,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",Food,0,4,conflict
2013,There is no excuse for such lousy service!,service,34,41,negative
2892,Fast service.,service,5,12,positive
1976,After my 3rd time the manager remembered me and treated me like an usual customer.,manager,22,29,positive
2106,The miso soup lacked flavor and the fish was unfortunately not as well prepared as in the past.,flavor,21,27,negative
2869,The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal.,meal,86,90,positive
2506,"My entree of hot pot with seafood was full of imitation crabmeat with a couple pieces of shrimp and squid, and was unnecessarily heated with a burner.",shrimp,89,95,negative
2351,One of us actually liked the expresso - that's it.,expresso,29,37,positive
2353,I loved everythig about it-especially the shows and actors.,shows,42,47,positive
1026,Be careful of portions - they're HUGE.,portions,14,22,positive
2339,"(food was delivered by a busboy, not waiter) We got no cheese offered for the pasta, our water and wine glasses remained EMPTY our entire meal, when we would have easily spent another $20 on wine.",cheese,55,61,negative
1315,You must try the shrimp appetizers.,shrimp appetizers,17,34,positive
2903,"We a menu that rearely changes,e xcept for one or two specials, the quality and care they put in thier food in evident.",specials,54,62,neutral
201,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",delivery,80,88,positive
1141,Other apetizers and food,apetizers,6,15,neutral
2299,Definitely not worth the price!,price,25,30,negative
1469,"The entree was bland and small, dessert was not inspired.",dessert,32,39,negative
648,He offers subpar service and has no personality.,service,17,24,negative
2678,The service was excellent and the food was delicious.,food,34,38,positive
2383,"We asked to be moved (which took half an hour), and then were seated in a high traffic area in the back, even though the rest of the room was practically empty.",room,133,137,neutral
3462,I really like both the scallops and the mahi mahi (on saffron risotto-yum!).,mahi mahi (on saffron risotto,40,69,positive
3304,Edible but really a ripoff at those prices given whats in the area.,prices,36,42,negative
3337,The service was excellent and the food was delicious.,food,34,38,positive
1827,"The staff was accomodating, the food was absolutely delicious and the place is lovely.",place,70,75,positive
2704,"Found service above average, but that could be because we were 13 of us.",service,6,13,positive
1764,The staff is incredibly helpful and attentive.,staff,4,9,positive
2821,This is the best sushi in new york city - hands down.,sushi,17,22,positive
3174,"I've eaten thai many times, and am very familiar with the cuisine.",cuisine,58,65,neutral
1361,"For the location, the prices are very reasonable.",prices,22,28,positive
3484,"Complimentary stuff kept coming, and when the waiter saw me opening a gift, I received my dessert on a plate that had Happy Birthday written on it, with a candlevery nice touch, and attentive staff.",dessert,90,97,positive
347,"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",sangria,52,59,neutral
260,What came to our table was burned beyond recognition and stringy.,table,17,22,neutral
452,"Decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.",food,108,112,neutral
1899,Good drink.,drink,5,10,positive
1548,"It was nice and fresh, but I can't give it high scores on being authentic thai.",thai,74,78,negative
1686,"After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like.",chicken dish,28,40,negative
1507,The waiter actually poured water on my hand and walked away.,water,27,32,neutral
624,The waitress was very patient with us and the food is phenomenal!,waitress,4,12,positive
874,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",dishes,4,10,positive
601,I have been to spice three times- twice during lunch and once at dinner.,lunch,47,52,neutral
1476,"The Pad thai, lad nar and various other dishes all look good on paper but, I've had better thai food in less asthetically pleasing places.",dishes,40,46,conflict
1885,"Drinks got screwed up, she acted put upon.",Drinks,0,6,negative
2423,"If you don't mind pre-sliced low quality fish, unfriendly staff and a sushi chef that looks like he is miserable then this is your place.",staff,58,63,negative
2536,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,food,125,129,neutral
1810,"Perhaps this food is considered extreme to an Upper East Side resident, but for the rest of us who've actually eaten ethnic food, this is simply dull.",ethnic food,117,128,negative
2402,It is also extremely well priced.,priced,26,32,positive
30,"I asked for seltzer with lime, no ice.",seltzer with lime,12,29,neutral
1839,There was a great deal for 6 Blue Point oysters and a beer or glass of wine for $8!,beer,54,58,neutral
3088,They had scrapped the bottom of the vessel in which they make the rice -RESULT - WE HAD LARGE CHUNKS OF BURNT RICE IN OUR SERVING BOWL.,rice,66,70,negative
2920,The hot and sour soup was unbearably hot and tasted of only pepper and nothing else.,pepper,60,66,negative
1405,"We started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner.",lox,16,19,positive
3130,Food and service was okay.,service,9,16,neutral
444,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,containers for condiments,126,151,negative
1570,"Disappointing food, lousy service.",food,14,18,negative
353,i've been back to nha trang literally a hundred times for the beef cubes - they're that good.,beef cubes,62,72,positive
11,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",Bagels,4,10,positive
1258,I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats.,chef,85,89,positive
2875,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",priced,150,156,positive
1520,"During our meal, the management came over and checked on us and even bought us a round of drinks.",meal,11,15,neutral
1655,"Great food, great lay out and awesome service.",lay out,18,25,positive
125,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,25,41,positive
1890,"At 5 dumplings for $1, you just cannot go wrong.",dumplings,5,14,positive
1967,"No dress codes, no attitudes, plenty of comfort companionship, a great place to relax in an always busy Midtown.",dress codes,3,14,positive
2094,Service was slow had to wait to order and get food although not crowded.,Service,0,7,negative
2103,service was efficient courteous.,service,0,7,positive
1830,"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy.",Guizhou Chicken,90,105,positive
2152,Really cool stauff inside.,stauff,12,18,positive
3228,I've lived in NYC all my life and had never before seen so many waterbugs in one place (except in a really bad dream).,waterbugs,64,73,negative
1286,The food is amazing!!!!,food,4,8,positive
3387,The service is good and the resturant is clean.,service,4,11,positive
2255,"The corned beef and pastrami are excellent, much less fatty than those big tourist places around Times Square.",pastrami,20,28,positive
427,Delivery is fast too.,Delivery,0,8,positive
3501,INCREDIBLY POOR SERVICE AN FOOD QUALITY AT EXORBITANT PRICES.,PRICES,54,60,negative
926,"Service was prompt, friendly and great.",Service,0,7,positive
792,"The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese.",Taiwanese,141,150,positive
2865,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",food,99,103,positive
309,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",banana tempura,191,205,positive
3493,"The prices cannot be beat for the quality, quantity, freshness and taste.",quantity,43,51,positive
1448,I was with a party of 7 (close but not next the the front doors) and we were eating with our coats on.,front doors,52,63,neutral
2933,"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",bagels,4,10,positive
1988,The prices were CHEAP compared to the quality of service and food.,food,61,65,positive
1966,"The staff are attentive, and have smiles on their faces.",staff,4,9,positive
26,The pizza is the best if you like thin crusted pizza.,thin crusted pizza,34,52,neutral
3264,Ive been here so many times the waiters know my name.,waiters,32,39,neutral
730,"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",vegetables,88,98,positive
3267,"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent.",lunch,67,72,neutral
1886,The one vegetarian entree (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.,vegetarian entree,8,25,positive
3653,I've had pizza both times and the caprese salad appetizer.,caprese salad appetizer,34,57,neutral
751,A great choice at any cost and a great deal.,cost,22,26,positive
2182,The food is nothing like its menu description.,menu description,29,45,negative
1006,"In addition, the food is very good and the prices are reasonable.",prices,43,49,positive
522,"good music, great food, speedy service affordable prices.",prices,50,56,positive
3158,"Normally that would be improper, however they were all delicious and my host did not complain.",host,72,76,neutral
31,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles,77,84,positive
1710,"We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off.",tip,21,24,negative
1444,We were well attended to by the enthusiastic staff especially the manager Tony Gaskin who made excellent suggestions for our menu selections.,manager,66,73,positive
1059,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",pizza,17,22,positive
3042,My fish was delicious in an incredible curry sauce.,fish,3,7,positive
376,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,4,18,positive
1401,"This place, however, has a lot less pretension than Joya and the Thai food is still above-average.",Thai food,65,74,positive
1219,"Friendly and informative staff, very attentive and prompt raw bar service.",staff,25,30,positive
139,I also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,21,32,positive
621,"Really though, where's the seasoning?",seasoning,27,36,negative
3309,Service was very prompt but slightly rushed.,Service,0,7,conflict
1587,"Good, dark atmosphere and the music is a nice touch.",atmosphere,11,21,positive
724,"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",Quality of food,0,15,positive
1924,"sometimes i get bad food and bad service, sometimes i get good good and bad service.",good,63,67,positive
1573,"If you want a casual neighborhood bistro that has great food and excellent service, this is the place.",service,75,82,positive
3225,"They're also friendlier here, especially the owner, Kenny.",owner,45,50,positive
2305,Salads are a delicious way to begin the meal.,Salads,0,6,positive
1836,They smell like they stuff them with old canned vegetables like the spinach mushroom calzone.,canned vegetables,41,58,negative
2852,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,foie gras terrine with figs,42,69,positive
221,"What is even better, is that the prices are very affordable as well, and the food is really good.",prices,33,39,positive
3611,"Sake collection was excellent (Try Nanbu Bijin), but pricy.",Nanbu Bijin,35,46,positive
3102,"All I can say is $2 pints during happy hour and the some of the cheapest oysters you'll find in the city, though the quality is some of the best.",quality,117,124,positive
2570,"I choose to go with one of the special, the braised lamb shank in red wine, which was excellent.",braised lamb shank in red wine,44,74,positive
605,"A cheap eat for NYC, but not for dosa.",dosa,33,37,negative
3255,Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.,seat,89,93,negative
3499,INCREDIBLY POOR SERVICE AN FOOD QUALITY AT EXORBITANT PRICES.,SERVICE,16,23,negative
1580,"Meanwhile, the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil, gratis.",turnip soup with pureed basil,130,159,positive
3555,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,setting,75,82,positive
2456,As soon as I wake up on a saturday or sunday it is the first thing on my mind is when and how I will be getting to fried dumpling.,fried dumpling,115,129,positive
451,"Decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.",wine list,86,95,positive
3663,My family and I ate here last night for our annual Christmas dinner with the family members who would rather spend the holidays with friends out-of-town.,Christmas dinner,51,67,neutral
483,"He not only makes his own homemade mozzarella, but every pie is ultra fresh.",mozzarella,35,45,positive
2079,"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.",hummus platter,87,101,neutral
3299,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",somosas,11,18,positive
2466,I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna.,service,84,91,positive
2772,big and soft as well as good lunch food.,lunch food,29,39,positive
2227,"The service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.",served,140,146,negative
3181,"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",menu,42,46,neutral
2572,"If anyones has doubt of not knowing enough about wines,please check their wine list.",wines,49,54,neutral
1180,"So much more than the usual bar food, go there to enjoy the menu while sampling one of their hand-crafted beers.",bar food,28,36,positive
1050,My boyfriend and I recently had an early dinner at Artisanal and was satisfied with our experience.,dinner,41,47,positive
3473,Really tasty spring rolls and noodles for a good price though.,price,49,54,positive
832,"Have always found that the waiters will go out of their way to be helpful, despite the fact they are often busy with lots of diners.",waiters,27,34,positive
2362,Scalina Fedeli reminded me why service is so integral to fine dining.,dining,62,68,positive
168,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,Service,0,7,positive
154,The lava cake dessert was incredible and I recommend it.,lava cake dessert,4,21,positive
1749,"being a fan of spicy ethnic foods, indian included, i made friends with this place long ago.",spicy ethnic foods,15,33,positive
3170,"Staffs are not that friendly, but the taste covers all.",taste,38,43,positive
267,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",food,35,39,positive
2560,The food there is so good that even to order out the wait is incredible.,wait,53,57,negative
1120,My husband and I enjoy Sangria.,Sangria,23,30,positive
752,"We ate here in March, 2006 and ordered the pre-theatre 3-course dinner with wine flight.",pre-theatre 3-course dinner,43,70,neutral
1370,"We have been to this place many times, and always have great food, wine, and service.",food,61,65,positive
3571,Kenny the owner is always there and he treats my family like we are part of his family.,owner,10,15,positive
791,"The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese.",round tables,62,74,positive
809,"For all of you new to Indian food, try the Paneer Roll, it is a piece of heaven.",Paneer Roll,43,54,positive
1913,"we did notice however, that some tables had what looked like pita instead of naan.",naan,77,81,negative
3472,Really tasty spring rolls and noodles for a good price though.,noodles,30,37,positive
3688,"Each table has a pot of boiling water sunken into its surface, and you get platters of thin sliced meats, various vegetables, and rice and glass noodles.",pot of boiling water,17,37,neutral
1060,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",toppings,62,70,neutral
1763,Every course was better than the next.,course,6,12,positive
541,"When going out for a nice dinner, I like a nice ambiance as well as very good food.",dinner,26,32,positive
92,Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,32,49,positive
986,I started out with a Bombay beer which was big enough for two.,Bombay beer,21,32,positive
35,"Best of all is the warm vibe, the owner is super friendly and service is fast.",vibe,24,28,positive
789,"Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.",crew,43,47,positive
3266,"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent.",Argentinian Pizza,24,41,neutral
1114,"After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",manager,115,122,negative
2060,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",price,44,49,neutral
1829,"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy.",vegetable juice,46,61,positive
3159,Taxan delicious!,Taxan,0,5,positive
1588,"Good, dark atmosphere and the music is a nice touch.",music,30,35,positive
1077,They don't walk around with the trays of Dim Sum.,trays of Dim Sum,32,48,neutral
1592,But the thai is definitely not great -- bland and indistinguished.,thai,8,12,negative
3171,The jukebox plays everything from Italian Opera to The Strokes.,jukebox,4,11,positive
3212,The waiters and owners were nonchalant about this and promised to call the exterminator but weren't as dismayed or apologetic as I would have expected.,waiters,4,11,negative
1767,The Yellowtail was particularly good as well.,Yellowtail,4,14,positive
2217,"However, service was as plain as sesame crusted Salmon I had.",sesame crusted Salmon,33,54,neutral
1251,It looked like shredded cheese partly done - still in strips.,shredded cheese,15,30,negative
1656,"Great food, great lay out and awesome service.",service,38,45,positive
1546,It was not above ordinary and the beef version had cheap (undercooked) beef.,beef,71,75,negative
902,"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",courses,71,78,positive
